Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6237	6	479.5889	479.2474	0.9899852	0.5082625	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5964771	0.208767	0.9736829	0.6390448	0	1	0.1984127	
Ta	0.285934	0	0.6144044	0.4863492	0	1	1	
k	-1.560809	-2	0.01471932	2.874149	-2	2	4	
Topt	9.889263	0	11.40366	2.291387	0	20	20	
Popt	851.2659	300	1000	2000.854	300	1000	700	
Pb	1.176034	0.3998515	5	2.457578	0	5	4	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Ta	k	Topt	Popt	Pb
MR	0.4083783	-0.2072607	0.8557874	-1.208103	152.1343	0.1431031	
2017	pinaster	low-Dec	pinaster_low-Dec	0.04882452	199.1	13.19164	P. pinaster	0.08065073	
2018	pinaster	low-Dec	pinaster_low-Dec	0.07868437	445.6	11.68466	P. pinaster	0.1675189	
2019	pinaster	low-Dec	pinaster_low-Dec	0.04198474	252.4	12.74521	P. pinaster	0.1028171	
2020	pinaster	low-Dec	pinaster_low-Dec	0.09480179	323.4	12.92051	P. pinaster	0.1242133	
2021	pinaster	low-Dec	pinaster_low-Dec	0.07480113	202.2	12.89171	P. pinaster	0.08264864	
2001	pinaster	medium	pinaster_medium	0.26936	360.2	12.25136	P. pinaster	0.1385002	
2002	pinaster	medium	pinaster_medium	0.189034	341.6	12.06719	P. pinaster	0.1363539	
2003	pinaster	medium	pinaster_medium	0.3093132	355.5	11.65683	P. pinaster	0.1487292	
2004	pinaster	medium	pinaster_medium	0.2482097	326.3	11.55707	P. pinaster	0.1433768	
2005	pinaster	medium	pinaster_medium	0.04001177	147.8	11.61297	P. pinaster	0.06524114	
2006	pinaster	medium	pinaster_medium	0.1178683	362.9	11.78407	P. pinaster	0.1473117	
2007	pinaster	medium	pinaster_medium	0.0556492	322	11.27962	P. pinaster	0.1522035	
2008	pinaster	medium	pinaster_medium	0.1127203	335.5	11.05442	P. pinaster	0.1681272	
2009	pinaster	medium	pinaster_medium	0.1548122	532	12.19787	P. pinaster	0.1678831	
2010	pinaster	medium	pinaster_medium	0.2486419	666.6	11.4048	P. pinaster	0.2026869	
2011	pinaster	medium	pinaster_medium	0.3110653	305.6	11.72189	P. pinaster	0.1324842	
2012	pinaster	medium	pinaster_medium	0.0837598	334.9	11.98467	P. pinaster	0.1358941	
2013	pinaster	medium	pinaster_medium	0.228604	425	11.00224	P. pinaster	0.1967984	
2014	pinaster	medium	pinaster_medium	0.1205257	333.6	11.95345	P. pinaster	0.1360823	
2015	pinaster	medium	pinaster_medium	0.1291197	260.8	12.41273	P. pinaster	0.1077413	
2016	pinaster	medium	pinaster_medium	0.06625869	382.1	11.93446	P. pinaster	0.1485708	
2017	pinaster	medium	pinaster_medium	0.09849051	207.7	12.7014	P. pinaster	0.08561186	
2001	pinaster	high	pinaster_high	0.5828131	368.2	11.36156	P. pinaster	0.1624688	
2002	pinaster	high	pinaster_high	0.3738774	349.9	11.2134	P. pinaster	0.164126	
2003	pinaster	high	pinaster_high	0.5811849	390.2	10.68792	P. pinaster	0.2132013	
2004	pinaster	high	pinaster_high	0.5059657	373.1	10.54402	P. pinaster	0.2215004	
2005	pinaster	high	pinaster_high	0.07626182	163	10.63039	P. pinaster	0.1014639	
2006	pinaster	high	pinaster_high	0.2310098	373.2	10.73044	P. pinaster	0.2039993	
2007	pinaster	high	pinaster_high	0.1078383	333.4	10.28368	P. pinaster	0.2328823	
2008	pinaster	high	pinaster_high	0.1626592	376.8	9.905245	P. pinaster	0.2995539	
2009	pinaster	high	pinaster_high	0.29091	612.7	11.18799	P. pinaster	0.2116866	
2010	pinaster	high	pinaster_high	0.4185128	799.9	10.32817	P. pinaster	0.312857	
2011	pinaster	high	pinaster_high	0.478777	353.3	10.55143	P. pinaster	0.2134596	
2012	pinaster	high	pinaster_high	0.2128957	371.2	10.89882	P. pinaster	0.189865	
2013	pinaster	high	pinaster_high	0.4040281	454	9.824873	P. pinaster	0.3417281	
2014	pinaster	high	pinaster_high	0.197504	385.2	10.75392	P. pinaster	0.2057542	
2015	pinaster	high	pinaster_high	0.2710632	295.9	11.31034	P. pinaster	0.1418229	
2016	pinaster	high	pinaster_high	0.1525367	444.8	10.71864	P. pinaster	0.2251258	
2017	pinaster	high	pinaster_high	0.1960562	231.9	11.61003	P. pinaster	0.1072933	
2018	pinaster	high	pinaster_high	0.3262517	506.9	10.01994	P. pinaster	0.3283676	
2019	pinaster	high	pinaster_high	0.138568	279.3	11.08017	P. pinaster	0.1455172	
2020	pinaster	high	pinaster_high	0.2202332	318.8	11.42356	P. pinaster	0.145455	
2001	nigra	low	nigra_low	0.1085746	359	12.07944	P. nigra	0.1405819	
2002	nigra	low	nigra_low	0.1229677	336.2	11.90305	P. nigra	0.1377349	
2003	nigra	low	nigra_low	0.1445175	350.7	11.48727	P. nigra	0.152794	
2004	nigra	low	nigra_low	0.127417	340.7	11.36707	P. nigra	0.1544425	
2005	nigra	low	nigra_low	0.04128587	143.3	11.44162	P. nigra	0.06513427	
2006	nigra	low	nigra_low	0.09253699	355.1	11.5831	P. nigra	0.1508158	
