year,npp,npp_qc,gpp,site_code,sp_elev,sp_code,elev_code,elev,Specie
2010,827.8000000000001,20,1306.1,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2010,595.1,26,1053.4,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2011,725.8000000000001,7,1203.7,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2011,406.6,3,663.9000000000001,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2011,602.4,7,903.4,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2011,775.4000000000001,5,1279.9,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2011,768.7,3,1327.6,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2011,800.4000000000001,5,1357.6,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2011,666.5,7,993.7,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2011,737.1,3,1232.8000000000002,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2011,834.6,5,1624.4,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2011,825.4000000000001,14,1505.6,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2011,1004.4,11,1565.4,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2011,884.2,9,1399,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2011,661.1,28,1171.4,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2012,566,0,981.9,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2012,299,9,502.1,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2012,457.6,13,720.9000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2012,537.5,3,967.6,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2012,555,11,1040.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2012,552.1,5,985.2,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2012,526.4,7,819.3000000000001,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2012,538.3000000000001,5,969.8,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2012,603.3000000000001,5,1307.4,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2012,587.3000000000001,7,1165,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2012,753.2,11,1239.5,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2012,727.7,9,1209.5,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2012,520.4,9,980.2,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2013,760.3000000000001,7,1206.3,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2013,375.1,7,593.8000000000001,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2013,643.1,9,943,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2013,782.1,5,1269.8000000000002,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2013,821.1,0,1371.8000000000002,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2013,815.1,5,1329.4,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2013,720.7,9,1047,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2013,788.9000000000001,3,1302.6,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2013,896.5,7,1648.1,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2013,846.4000000000001,5,1495.1,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2013,1031.8,9,1564.4,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2013,934.6,7,1457.5,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2013,688.8000000000001,19,1190,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2014,626.1,5,1030.6,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2014,276.8,9,444.7000000000001,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2014,521.9,3,779.5,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2014,683.5,0,1159.1,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2014,733.7,9,1297,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2014,723.3000000000001,7,1230.2,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2014,627.9000000000001,5,935.8,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2014,669.9000000000001,5,1137.1,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2014,757.5,7,1492.2,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2014,773,7,1435.9,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2014,990.1,7,1550,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2014,925.1,20,1473.5,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2014,633.1,14,1129.8,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2015,589.2,6,971,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2015,207.1,20,340.3,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2015,449.3,15,675.7,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2015,671.1,5,1132.2,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2015,683.4000000000001,3,1241.6,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2015,670.7,3,1161.8,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2015,599,7,902.9,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2015,619.4000000000001,7,1090.5,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
