prec,modelo,type_value,value,name_modelo,type
115,mprecrat3,predicted,0.021584273661382332,Prec (Log-normal),univariate
116,mprecrat3,peffect,0.06815005504215979,Prec (Log-normal),univariate
116,mprecrat3,predicted,0.02205633735385705,Prec (Log-normal),univariate
117,mprecrat3,peffect,0.0696216497687413,Prec (Log-normal),univariate
117,mprecrat3,predicted,0.022532609745971176,Prec (Log-normal),univariate
118,mprecrat3,peffect,0.07110610226310533,Prec (Log-normal),univariate
118,mprecrat3,predicted,0.02301304347388545,Prec (Log-normal),univariate
119,mprecrat3,peffect,0.07260326590821758,Prec (Log-normal),univariate
119,mprecrat3,predicted,0.023497591085917424,Prec (Log-normal),univariate
120,mprecrat3,peffect,0.07411299387239086,Prec (Log-normal),univariate
120,mprecrat3,predicted,0.023986205060913594,Prec (Log-normal),univariate
121,mprecrat3,peffect,0.07563513916392703,Prec (Log-normal),univariate
121,mprecrat3,predicted,0.024478837825933925,Prec (Log-normal),univariate
122,mprecrat3,peffect,0.0771695546837,Prec (Log-normal),univariate
122,mprecrat3,predicted,0.024975441773269987,Prec (Log-normal),univariate
123,mprecrat3,peffect,0.07871609327574226,Prec (Log-normal),univariate
123,mprecrat3,predicted,0.025475969276816994,Prec (Log-normal),univariate
124,mprecrat3,peffect,0.08027460777589546,Prec (Log-normal),univariate
124,mprecrat3,predicted,0.025980372707819232,Prec (Log-normal),univariate
125,mprecrat3,peffect,0.08184495105858583,Prec (Log-normal),univariate
125,mprecrat3,predicted,0.026488604450008658,Prec (Log-normal),univariate
126,mprecrat3,peffect,0.0834269760817808,Prec (Log-normal),univariate
126,mprecrat3,predicted,0.027000616914154806,Prec (Log-normal),univariate
127,mprecrat3,peffect,0.08502053593018444,Prec (Log-normal),univariate
127,mprecrat3,predicted,0.027516362552044725,Prec (Log-normal),univariate
128,mprecrat3,peffect,0.0866254838567269,Prec (Log-normal),univariate
128,mprecrat3,predicted,0.028035793869910793,Prec (Log-normal),univariate
129,mprecrat3,peffect,0.08824167332239864,Prec (Log-normal),univariate
129,mprecrat3,predicted,0.02855886344132278,Prec (Log-normal),univariate
130,mprecrat3,peffect,0.08986895803448548,Prec (Log-normal),univariate
130,mprecrat3,predicted,0.029085523919562418,Prec (Log-normal),univariate
131,mprecrat3,peffect,0.09150719198325041,Prec (Log-normal),univariate
131,mprecrat3,predicted,0.029615728049495214,Prec (Log-normal),univariate
132,mprecrat3,peffect,0.09315622947711487,Prec (Log-normal),univariate
132,mprecrat3,predicted,0.03014942867895667,Prec (Log-normal),univariate
133,mprecrat3,peffect,0.09481592517638422,Prec (Log-normal),univariate
133,mprecrat3,predicted,0.030686578769667298,Prec (Log-normal),univariate
134,mprecrat3,peffect,0.0964861341255666,Prec (Log-normal),univariate
134,mprecrat3,predicted,0.031227131407692434,Prec (Log-normal),univariate
135,mprecrat3,peffect,0.09816671178432744,Prec (Log-normal),univariate
135,mprecrat3,predicted,0.03177103981346046,Prec (Log-normal),univariate
136,mprecrat3,peffect,0.09985751405712423,Prec (Log-normal),univariate
136,mprecrat3,predicted,0.032318257351353914,Prec (Log-normal),univariate
