sp_elev,sp_code,elev_code,year,mean,sd,se,cv,median,sum,min,max,n,iv
pinaster_low-Dec,pinaster,low-Dec,1994,0.355354113476594,0.06752141649116228,0.018045857627114085,19.001163608483086,0.3559745725970655,4.974957588672316,0.2511273957158963,0.450880333092146,14,ndvi
pinaster_low-Dec,pinaster,low-Dec,1995,0.3565667692785328,0.06716838708497871,0.03003861589220627,18.837534193353278,0.35200356008657496,1.7828338463926638,0.2970687003734739,0.46196806966618287,5,ndvi
pinaster_low-Dec,pinaster,low-Dec,1996,0.3866752506008241,0.058423505019995506,0.01761534955352457,15.109191738859895,0.36448864175507184,4.253427756609065,0.32099120762810224,0.4984902727701266,11,ndvi
pinaster_low-Dec,pinaster,low-Dec,1997,0.39488559510368143,0.032100635394015725,0.013105029522410695,8.12909758979366,0.38857638418273355,2.3693135706220882,0.3643526566397096,0.4537171972322073,6,ndvi
pinaster_low-Dec,pinaster,low-Dec,1998,0.48669641966542365,0.07686990963588691,0.02317714981188745,15.794221311249965,0.505484264104954,5.353660616319659,0.39680090428729065,0.5970548353166305,11,ndvi
pinaster_low-Dec,pinaster,low-Dec,1999,0.43562607239006007,0.08778942975413828,0.02346271202287454,20.15247371960132,0.4053961825507123,6.098765013460841,0.3155694377703028,0.6333563807432112,14,ndvi
pinaster_low-Dec,pinaster,low-Dec,2000,0.45260877475324884,0.08192069529204303,0.017081645777968515,18.099670148176905,0.4237409045512914,10.41000181932472,0.3581783681214422,0.6294698831435879,23,ndvi
pinaster_low-Dec,pinaster,low-Dec,2001,0.4353357294460712,0.08700285394498598,0.02050676933569412,19.985231640805118,0.4126525142842955,7.836043130029281,0.3416830496283865,0.6520135732121135,18,ndvi
pinaster_low-Dec,pinaster,low-Dec,2002,0.43081701816225904,0.08159668995898235,0.02180763269438067,18.93998763258013,0.4033628056728257,6.0314382542716265,0.31245007987220447,0.5763647035805125,14,ndvi
pinaster_low-Dec,pinaster,low-Dec,2003,0.4625630878470416,0.0920563764305815,0.027756041834541376,19.901366721467042,0.4283334785934942,5.088193966317458,0.34251148004238774,0.6199301674123443,11,ndvi
pinaster_low-Dec,pinaster,low-Dec,2004,0.47559196589144725,0.05738146995994586,0.015335842924255605,12.065273191146177,0.45390024243287547,6.658287522480262,0.40464756441584665,0.6012339704814905,14,ndvi
pinaster_low-Dec,pinaster,low-Dec,2005,0.4255471758460695,0.11877109435990489,0.029692773589976223,27.910206224201854,0.4271144501415816,6.808754813537112,0.21589948686990648,0.6139944564213121,16,ndvi
pinaster_low-Dec,pinaster,low-Dec,2006,0.42864824670819474,0.06820820012842801,0.022736066709476005,15.912394522136285,0.4185067193965359,3.857834220373752,0.3671814386522333,0.5945210781520466,9,ndvi
pinaster_low-Dec,pinaster,low-Dec,2007,0.4172131398693226,0.06863037766146077,0.018342239966720714,16.449716248859474,0.3916005897761271,5.840983958170517,0.31912816892816365,0.5256685828542865,14,ndvi
pinaster_low-Dec,pinaster,low-Dec,2008,0.4102096355656735,0.06732889672212658,0.019436178323380147,16.41328990950711,0.4158187958676617,4.9225156267880825,0.2980442894376629,0.543042511297154,12,ndvi
pinaster_low-Dec,pinaster,low-Dec,2009,0.3957257414493687,0.07055734275901682,0.015777101472091416,17.82985926075883,0.37997504807338806,7.914514828987373,0.2354627988053734,0.5424537681447605,20,ndvi
